date,Unit,Estimated NAV after Trading Team Carry,NAV per unit,PNL per unit,ETH haircut,fund,Date
2025-12-21,5000.0,4993.764024707139,0.9987528049414277,0.0,,HPE,2025-12-21
2025-12-22,5000.0,4994.1236348868115,0.9988247269773622,0.0,,HPE,2025-12-22
2025-12-23,5000.0,4992.576649594457,0.9985153299188915,0.0,,HPE,2025-12-23
2025-12-24,5000.0,4992.052912785053,0.9984105825570107,0.0,,HPE,2025-12-24
2025-12-25,5000.0,4993.613397486552,0.9987226794973103,0.0,,HPE,2025-12-25
2025-12-26,5000.0,4995.0416359037345,0.999008327180747,0.0,,HPE,2025-12-26
2025-12-27,5000.0,4993.249436014761,0.9986498872029522,0.0,,HPE,2025-12-27
2025-12-28,5000.0,4992.525183453048,0.9985050366906096,0.0,,HPE,2025-12-28
2025-12-29,5000.0,4990.933041702249,0.9981866083404498,0.0,,HPE,2025-12-29
2025-12-30,5000.0,4994.251272444864,0.9988502544889729,0.0,,HPE,2025-12-30
2025-12-31,5000.0,4992.05597914257,0.9984111958285141,0.0,,HPE,2025-12-31
2026-01-01,5000.0,4992.14487473812,0.9984289749476241,0.0,,HPE,2026-01-01
2026-01-02,5000.0,4993.884935942,0.9987769871884,0.0,,HPE,2026-01-02
2026-01-03,5000.0,4999.109818940062,0.9998219637880124,0.0,,HPE,2026-01-03
2026-01-04,5000.0,4999.709587414864,0.9999419174829727,0.0,,HPE,2026-01-04
2026-01-05,5000.0,4999.591371113908,0.9999182742227817,0.0,,HPE,2026-01-05
2026-01-06,5000.0,5001.720530173852,1.0003441060347704,0.0,,HPE,2026-01-06
2026-01-07,5000.0,5001.056987938629,1.0002113975877258,0.0,,HPE,2026-01-07
2026-01-08,5000.0,4997.663567097171,0.9995327134194342,0.0,,HPE,2026-01-08
2026-01-09,5000.0,5001.283153788887,1.0002566307577774,0.0,,HPE,2026-01-09
2026-01-10,5000.0,4999.521038407832,0.9999042076815664,0.0,,HPE,2026-01-10
2026-01-11,5000.0,5000.240987789541,1.000048197557908,0.0,,HPE,2026-01-11
2026-01-12,5000.0,5001.167723841681,1.0002335447683364,0.0,,HPE,2026-01-12
2026-01-13,5000.0,5002.823740005364,1.0005647480010729,0.0,,HPE,2026-01-13
2026-01-14,5000.0,5005.2823734602225,1.0010564746920445,0.0,,HPE,2026-01-14
2026-01-15,5000.0,5007.240906510067,1.0014481813020135,0.0,,HPE,2026-01-15
2026-01-16,5000.0,5006.525086945931,1.0013050173891862,0.0,,HPE,2026-01-16
2026-01-17,5000.0,5006.712675492789,1.0013425350985576,0.0,,HPE,2026-01-17
2026-01-18,5000.0,5006.894267297714,1.0013788534595427,0.0,,HPE,2026-01-18
2026-01-19,5000.0,5007.0157197505705,1.001403143950114,0.0,,HPE,2026-01-19
2026-01-20,5000.0,5003.717633244415,1.000743526648883,0.0,,HPE,2026-01-20
2026-01-21,5000.0,5002.70878113649,1.000541756227298,0.0,,HPE,2026-01-21
2026-01-22,5000.0,5006.85135245672,1.0013702704913439,0.0,,HPE,2026-01-22
2026-01-23,5000.0,5007.119617389046,1.001423923477809,0.0,,HPE,2026-01-23
2026-01-24,5000.0,5005.420707592792,1.0010841415185583,0.0,,HPE,2026-01-24
2026-01-25,5000.0,5005.810439066541,1.0011620878133083,0.0,,HPE,2026-01-25
2026-01-26,5000.0,5006.827791938076,1.0013655583876153,0.0,,HPE,2026-01-26
2026-01-27,5000.0,5007.483346654313,1.0014966693308627,0.0,,HPE,2026-01-27
2026-01-28,5000.0,5001.2813,1.00025626,0.0,,HPE,2026-01-28
