date,model,navperunit
2025/9/9 16:00,deep-growth,1.042032887
2025/9/10 16:00,deep-growth,1.041135114
2025/9/11 16:00,deep-growth,1.041018333
2025/9/12 16:00,deep-growth,1.033825786
2025/9/13 16:00,deep-growth,1.038364774
2025/9/14 16:00,deep-growth,1.035873181
2025/9/15 16:00,deep-growth,1.040014588
2025/9/16 16:00,deep-growth,1.040458311
2025/9/17 16:00,deep-growth,1.037759986
2025/9/18 16:00,deep-growth,1.03112699
2025/9/19 16:00,deep-growth,1.030419749
2025/9/20 16:00,deep-growth,1.034054714
2025/9/21 16:00,deep-growth,1.036565066
2025/9/22 16:00,deep-growth,1.058868157
2025/9/23 16:00,deep-growth,1.057057359
2025/9/24 16:00,deep-growth,1.051774464
2025/9/25 16:00,deep-growth,1.052114835
2025/9/26 16:00,deep-growth,1.055495068
2025/9/27 16:00,deep-growth,1.057206414
2025/9/28 16:00,deep-growth,1.058123366
2025/9/29 16:00,deep-growth,1.05708821
2025/9/30 16:00,deep-growth,1.053733408
2025/10/1 16:00,deep-growth,1.054145509
2025/10/2 16:00,deep-growth,1.055059759
2025/10/3 16:00,deep-growth,1.046597659
2025/10/4 16:00,deep-growth,1.043860053
2025/10/5 16:00,deep-growth,1.046941002
2025/10/6 16:00,deep-growth,1.043877179
2025/10/7 16:00,deep-growth,1.043089254
2025/10/8 16:00,deep-growth,1.042668781
2025/10/9 16:00,deep-growth,1.043149615
2025/10/10 16:00,deep-growth,1.047443781
2025/10/11 16:00,deep-growth,1.09457971
2025/10/12 16:00,deep-growth,1.08342448
2025/10/13 16:00,deep-growth,1.070855531
2025/10/14 16:00,deep-growth,1.072037033
2025/10/15 16:00,deep-growth,1.050989585
2025/10/16 16:00,deep-growth,1.056109454
2025/10/17 16:00,deep-growth,1.063748541
2025/10/18 16:00,deep-growth,1.066780228
2025/10/19 16:00,deep-growth,1.067006914
2025/10/20 16:00,deep-growth,1.065257591
2025/10/21 16:00,deep-growth,1.066118521
2025/10/22 16:00,deep-growth,1.060040613
2025/10/23 16:00,deep-growth,1.066817449
2025/10/24 16:00,deep-growth,1.064908415
2025/10/25 16:00,deep-growth,1.062687384
2025/10/26 16:00,deep-growth,1.055729383
2025/10/27 16:00,deep-growth,1.053242746
2025/10/28 16:00,deep-growth,1.061304054
2025/10/29 16:00,deep-growth,1.063672405
2025/10/30 16:00,deep-growth,1.066273466
2025/10/31 16:00,deep-growth,1.075637568
2025/11/1 16:00,deep-growth,1.07152775
2025/11/2 16:00,deep-growth,1.06853854
2025/11/3 16:00,deep-growth,1.079018659
2025/11/4 16:00,deep-growth,1.083166137
2025/11/5 16:00,deep-growth,1.092311763
2025/11/6 16:00,deep-growth,1.093528476
2025/11/7 16:00,deep-growth,1.092024577
2025/11/8 16:00,deep-growth,1.078057153
2025/11/9 16:00,deep-growth,1.088710111
2025/11/10 16:00,deep-growth,1.089079891
2025/11/11 16:00,deep-growth,1.091408416
2025/11/12 16:00,deep-growth,1.09307369
2025/11/13 16:00,deep-growth,1.09918952
2025/11/14 16:00,deep-growth,1.099003614
2025/11/15 16:00,deep-growth,1.097476706
2025/11/16 16:00,deep-growth,1.102050311
2025/11/17 16:00,deep-growth,1.098940313
2025/11/18 16:00,deep-growth,1.101421852
2025/11/19 16:00,deep-growth,1.103035758
2025/11/20 16:00,deep-growth,1.102835644
2025/11/21 16:00,deep-growth,1.091476065
2025/11/22 16:00,deep-growth,1.090884535
2025/11/23 16:00,deep-growth,1.09374512
2025/11/24 16:00,deep-growth,1.106506843
2025/11/25 16:00,deep-growth,1.115854298
2025/11/26 16:00,deep-growth,1.115100612
2025/11/27 16:00,deep-growth,1.119956883
2025/11/28 16:00,deep-growth,1.122066445
2025/11/29 16:00,deep-growth,1.120833324
2025/11/30 16:00,deep-growth,1.124906216
2025/12/1 16:00,deep-growth,1.116341682
2025/12/2 16:00,deep-growth,1.116837771
2025/12/3 16:00,deep-growth,1.130971895
